window,symbol,start_date,end_date,return,btc_return,beats_btc
7d,SPY,2026-04-17,2026-04-24,0.005351057537950288,0.04140333160186338,false
7d,MSFT,2026-04-17,2026-04-24,0.004328389980841507,0.04140333160186338,false
7d,AAPL,2026-04-17,2026-04-24,0.003071457647189302,0.04140333160186338,false
7d,USD,2026-04-17,2026-04-24,0.0,0.04140333160186338,false
7d,GOOGL,2026-04-17,2026-04-24,0.007960664949660412,0.04140333160186338,false
7d,C:GBPUSD,2026-04-17,2026-04-24,0.0012577685705830177,0.04140333160186338,false
7d,C:EURUSD,2026-04-17,2026-04-24,-0.003824904377390692,0.04140333160186338,false
7d,BTC,2026-04-17,2026-04-24,0.04140333160186338,0.04140333160186338,
1m,SPY,2026-03-25,2026-04-24,0.08696446515026945,0.10969389263426499,false
1m,MSFT,2026-03-25,2026-04-24,0.14440491591203108,0.10969389263426499,true
1m,AAPL,2026-03-25,2026-04-24,0.07299501227139582,0.10969389263426499,false
1m,USD,2026-03-25,2026-04-24,0.0,0.10969389263426499,false
1m,GOOGL,2026-03-25,2026-04-24,0.1837899150998521,0.10969389263426499,true
1m,C:GBPUSD,2026-03-25,2026-04-24,0.012729272837482819,0.10969389263426499,false
1m,C:EURUSD,2026-03-25,2026-04-24,0.013744366885503956,0.10969389263426499,false
1m,BTC,2026-03-25,2026-04-24,0.10969389263426499,0.10969389263426499,
3m,SPY,2026-01-24,2026-04-24,0.03061798969295393,-0.12472295460387073,true
3m,MSFT,2026-01-24,2026-04-24,-0.09709109466700683,-0.12472295460387073,true
3m,AAPL,2026-01-24,2026-04-24,0.06127402999099485,-0.12472295460387073,true
3m,USD,2026-01-24,2026-04-24,0.0,-0.12472295460387073,true
3m,GOOGL,2026-01-24,2026-04-24,0.03342735401788399,-0.12472295460387073,true
3m,C:GBPUSD,2026-01-24,2026-04-24,-0.009572739647828565,-0.12472295460387073,true
3m,C:EURUSD,2026-01-24,2026-04-24,-0.011771054673007542,-0.12472295460387073,true
3m,BTC,2026-01-24,2026-04-24,-0.12472295460387073,-0.12472295460387073,
6m,SPY,2025-10-26,2026-04-24,0.041883135835619756,-0.29886755895978057,true
6m,MSFT,2025-10-26,2026-04-24,-0.20112131246237208,-0.29886755895978057,true
6m,AAPL,2025-10-26,2026-04-24,0.008370224322011843,-0.29886755895978057,true
6m,USD,2025-10-26,2026-04-24,0.0,-0.29886755895978057,true
6m,GOOGL,2025-10-26,2026-04-24,0.2790136294425669,-0.29886755895978057,true
6m,C:GBPUSD,2025-10-26,2026-04-24,0.015899468516349824,-0.29886755895978057,true
6m,C:EURUSD,2025-10-26,2026-04-24,0.0076692918801801735,-0.29886755895978057,true
6m,BTC,2025-10-26,2026-04-24,-0.29886755895978057,-0.29886755895978057,
1y,SPY,2025-04-24,2026-04-24,0.2965639982565742,-0.1663121999324627,true
1y,MSFT,2025-04-24,2026-04-24,0.0836289396452723,-0.1663121999324627,true
1y,AAPL,2025-04-24,2026-04-24,0.2952025993883791,-0.1663121999324627,true
1y,USD,2025-04-24,2026-04-24,0.0,-0.1663121999324627,true
1y,GOOGL,2025-04-24,2026-04-24,1.1264509755495182,-0.1663121999324627,true
1y,C:GBPUSD,2025-04-24,2026-04-24,0.01683071605680375,-0.1663121999324627,true
1y,C:EURUSD,2025-04-24,2026-04-24,0.03141775939452596,-0.1663121999324627,true
1y,BTC,2025-04-24,2026-04-24,-0.1663121999324627,-0.1663121999324627,
ytd,SPY,2026-01-01,2026-04-24,0.04504003395933687,-0.10579914775550381,true
ytd,MSFT,2026-01-01,2026-04-24,-0.10216940838161293,-0.10579914775550381,true
ytd,AAPL,2026-01-01,2026-04-24,0.00018449503708350967,-0.10579914775550381,true
ytd,USD,2026-01-01,2026-04-24,0.0,-0.10579914775550381,true
ytd,GOOGL,2026-01-01,2026-04-24,0.0928129462160876,-0.10579914775550381,true
ytd,C:GBPUSD,2026-01-01,2026-04-24,0.004453351146737949,-0.10579914775550381,true
ytd,C:EURUSD,2026-01-01,2026-04-24,-0.0025786575661899125,-0.10579914775550381,true
ytd,BTC,2026-01-01,2026-04-24,-0.10579914775550381,-0.10579914775550381,
